date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-10-05 04:30:00,10.7000001,13.0,10.7000001,13.0,56.4859655,667.97948444,11.82558319
2016-10-05 05:00:00,10.67999939,10.99999995,8.00000004,10.071,317.95853818,3102.31204147,9.75697038
2016-10-05 05:30:00,10.67999939,10.67999939,10.67999939,10.67999939,0.0,0.0,10.67999939
2016-10-05 06:00:00,10.39995237,10.39995873,10.39995237,10.39995873,2.17261007,22.59505217,10.3999574
2016-10-05 06:30:00,10.3999404,10.3999404,10.3999404,10.3999404,5.08344262,52.86750027,10.3999404
2016-10-05 07:00:00,8.91501247,9.53012398,8.91501247,9.53012398,1.64552082,14.80548332,8.99744515
2016-10-05 07:30:00,8.0,9.53011462,8.0,9.01029472,1217.36063536,9917.33048099,8.14658384
2016-10-05 08:00:00,6.60000951,8.49735982,6.60000951,8.49735982,25.36879205,169.33593453,6.67497034
2016-10-05 08:30:00,7.93820963,8.49726349,7.82389209,8.49726348,804.60606884,6393.95249333,7.94668688
2016-10-05 09:00:00,9.50566622,9.50566622,7.82388073,7.82388484,228.2561923,1786.09008722,7.82493596
2016-10-05 09:30:00,9.45776024,9.45776024,7.70125239,7.70125239,0.94235729,7.99921388,8.48851488
2016-10-05 10:00:00,8.39999781,8.49998903,8.00000334,8.00000334,48.60456875,407.30861638,8.38004794
2016-10-05 10:30:00,9.18887428,9.31999994,8.5,8.7,387.02671452,3471.97370146,8.97088901
2016-10-05 11:00:00,8.50000974,9.1499984,8.50000974,9.00000013,384.0421076,3418.96263359,8.90257231
2016-10-05 11:30:00,8.80000245,8.80000475,8.6,8.76672238,218.97254793,1921.60185104,8.7755377
2016-10-05 12:00:00,8.74113326,8.88000026,8.74113326,8.88000026,221.28102506,1952.88179243,8.82534682
2016-10-05 12:30:00,8.70617585,8.82899821,8.7061583,8.72733034,188.53901695,1646.06940703,8.73065656
2016-10-05 13:00:00,8.88846514,8.89305473,8.88846514,8.89305473,17.83011751,158.56246627,8.89295688
2016-10-05 13:30:00,9.99998492,10.0,9.00999511,9.00999511,320.80147359,3037.26032247,9.46772559
2016-10-05 14:00:00,9.36724311,9.53969946,9.2957959,9.53969946,232.33510702,2187.28869329,9.41437013
2016-10-05 14:30:00,10.00000151,11.0,9.99997806,9.99997806,1895.46939051,20655.86584292,10.89749375
2016-10-05 15:00:00,10.89999987,10.99999938,10.00001219,10.99999846,42.48581472,462.17610777,10.87836283
2016-10-05 15:30:00,10.50000062,10.50000135,10.0,10.00990468,363.19152883,3811.34521399,10.49403664
2016-10-05 16:00:00,10.50000095,10.99999396,10.10000989,10.49999477,140.28558807,1473.05991981,10.50043657
2016-10-05 16:30:00,10.0,10.99991278,10.0,10.99991278,261.83433771,2855.83166002,10.90701733
2016-10-05 17:00:00,10.00014593,10.49996999,9.99869465,10.49996999,80.28659607,803.1589592,10.0036494
2016-10-05 17:30:00,9.49998885,10.04999876,9.10002896,9.52002835,251.28205255,2388.64382981,9.50582743
2016-10-05 18:00:00,9.30002601,9.30002601,9.30000745,9.30000751,15.37474383,142.98523596,9.30000769
2016-10-05 18:30:00,9.91883758,10.0,9.61589706,9.89995797,346.26669217,3409.66587856,9.84693577
2016-10-05 19:00:00,9.90560031,9.91,9.72986648,9.72986648,7.82149522,77.21612536,9.8722972
2016-10-05 19:30:00,9.5,9.91,9.5,9.90559105,223.57785659,2140.01399267,9.57167237
2016-10-05 20:00:00,9.58514693,9.58514693,9.42013062,9.45251738,87.78805732,830.41173798,9.45927912
2016-10-05 20:30:00,9.42014205,9.90091731,9.42014205,9.90091731,17.0450058,160.70924619,9.42852399
2016-10-05 21:00:00,9.37,9.90084047,9.37,9.90084047,143.05521179,1369.92335113,9.57618624
2016-10-05 21:30:00,10.5,10.5,9.46999292,9.46999292,206.85104476,2005.61059999,9.69591718
2016-10-05 22:00:00,9.65996023,10.29999997,9.62156774,10.29999997,123.42124712,1205.54898615,9.7677589
2016-10-05 22:30:00,9.76000009,9.76000009,9.65525,9.65525,113.634262,1098.22137809,9.66452686
2016-10-05 23:00:00,9.78,9.79,9.78,9.79,4.61316567,45.12676106,9.78216788
2016-10-05 23:30:00,9.88995442,9.88996528,9.8899544,9.88996528,88.66312705,876.8742891,9.88995446
2016-10-06 00:00:00,9.99999426,9.99999984,9.8899353,9.8899353,11.4167158,114.02217665,9.98730095
2016-10-06 00:30:00,9.99991637,9.99991637,9.99991637,9.99991637,5.0,49.99958185,9.99991637
2016-10-06 01:00:00,10.08475164,10.08475763,9.99,10.04999314,95.53713368,954.91811224,9.99525603
2016-10-06 01:30:00,10.08475226,10.08475226,10.08475226,10.08475226,2.58055485,26.02425635,10.08475226
2016-10-06 02:00:00,10.0299995,10.0299995,10.01,10.01,1.99238512,19.96377455,10.02003796
2016-10-06 02:30:00,10.08475764,10.08475764,10.08475764,10.08475764,12.909218,130.18633485,10.08475764
2016-10-06 03:00:00,9.77818359,10.08471412,9.77818359,10.08471412,103.589655,1016.93310086,9.81693684
2016-10-06 03:30:00,10.08466262,10.08466262,9.6600026,9.6600027,150.53986008,1454.21546292,9.66000275
2016-10-06 04:00:00,9.4,9.70000001,9.4,9.7,124.69704794,1205.71897574,9.6691862
2016-10-06 04:30:00,9.87699959,9.87699959,9.4,9.4,187.83314031,1842.98077113,9.81179768
2016-10-06 05:00:00,9.28418254,9.50000117,8.49,9.50000117,759.0908332,7066.79256533,9.30954802
2016-10-06 05:30:00,9.00000543,9.2799995,8.05070802,8.19880205,1008.22606794,8621.25799769,8.55091756
2016-10-06 06:00:00,8.40863891,8.40863891,8.20001507,8.20001507,91.28705249,765.51342241,8.3857831
2016-10-06 06:30:00,9.39997033,9.3999725,9.39997033,9.3999725,10.0063226,94.05913556,9.39997033
2016-10-06 07:00:00,8.72002077,8.72002077,8.72002077,8.72002077,1.69043171,14.74059962,8.72002077
2016-10-06 07:30:00,9.36396951,9.36396951,8.75004355,8.75004355,12.99755662,121.70321774,9.36354588
2016-10-06 08:00:00,9.0,9.36396037,9.0,9.36396037,12.35454123,113.92415886,9.22123749
2016-10-06 08:30:00,8.99886414,9.0,8.888,9.0,255.21609313,2281.45231573,8.93929645
2016-10-06 09:00:00,9.38498575,9.38498575,8.85000119,8.99885202,29.21815824,261.88657501,8.96314452
2016-10-06 09:30:00,8.85002645,9.09999901,8.85002645,9.09999901,63.30335133,573.14103168,9.05388134
2016-10-06 10:00:00,8.95,8.95,8.86006831,8.86006837,22.49065974,199.26927115,8.86009007
2016-10-06 10:30:00,9.0,9.0,9.0,9.0,1.0,9.0,9.0
2016-10-06 11:00:00,8.85,8.86015823,8.85,8.86014932,29.91518712,264.77592113,8.85088634
2016-10-06 11:30:00,8.85,8.85,8.85,8.85,0.0,0.0,8.85
2016-10-06 12:00:00,8.34416813,8.34416815,8.34416813,8.34416815,148.25061481,1237.02805724,8.34416814
2016-10-06 12:30:00,8.34416813,8.34416813,8.34416813,8.34416813,0.0,0.0,8.34416813
2016-10-06 13:00:00,8.15003722,8.89981296,8.15003722,8.89981296,0.00422306,0.03600324,8.5253938
2016-10-06 13:30:00,8.89978185,8.89978185,8.15005075,8.15005075,14.02927886,119.48631229,8.51692474
2016-10-06 14:00:00,8.89978185,8.89978185,8.89978185,8.89978185,0.0,0.0,8.89978185
2016-10-06 14:30:00,8.16013,8.82403009,8.16013,8.82403009,0.56059976,4.76089093,8.49249549
2016-10-06 15:00:00,8.16013,8.16013,8.16013,8.16013,0.0,0.0,8.16013
2016-10-06 15:30:00,8.44994081,8.44997041,8.44994081,8.44997041,25.86679087,218.57289517,8.44994248
2016-10-06 16:00:00,8.44994081,8.44994081,8.44994081,8.44994081,0.0,0.0,8.44994081
2016-10-06 16:30:00,8.44994081,8.44994081,8.44994081,8.44994081,0.0,0.0,8.44994081
2016-10-06 17:00:00,8.44994081,8.44994081,8.44994081,8.44994081,0.0,0.0,8.44994081
2016-10-06 17:30:00,8.44994081,8.44994081,8.44994081,8.44994081,0.0,0.0,8.44994081
2016-10-06 18:00:00,8.15000016,8.80940401,8.15,8.20016138,752.12874473,6167.43194245,8.1999684
2016-10-06 18:30:00,7.5496859,8.10000424,7.5496859,8.10000424,733.88740627,5802.17532897,7.90608379
2016-10-06 19:00:00,6.4499452,7.5496859,6.4499452,7.5496859,1943.1343075,13132.39841243,6.75835857
2016-10-06 19:30:00,7.29998665,7.84559063,6.5,6.5,469.32453522,3401.72875634,7.24813748
2016-10-06 20:00:00,7.94250215,7.94250274,7.94250215,7.94250274,2.63037161,20.89173371,7.94250273
2016-10-06 20:30:00,7.94250215,7.94250215,7.94250215,7.94250215,0.0,0.0,7.94250215
2016-10-06 21:00:00,7.60999651,7.60999651,7.51000933,7.51000933,61.50858379,467.03074595,7.59293609
2016-10-06 21:30:00,7.71840955,7.71840955,7.71840955,7.71840955,0.01383811,0.1068082,7.71840955
